incident_id,year,date_of_incident,route,borough,injury_result_description,incident_event_type,operator_id,bus_garage_id,victim_id
2133,2017,2017-12-01,427,Ealing,"Injuries treated on scene","Slip Trip Fall",10,72,1
2134,2017,2017-12-01,166,Croydon,"Injuries treated on scene","Slip Trip Fall",12,35,1
2135,2017,2017-12-01,157,Croydon,"Injuries treated on scene","Slip Trip Fall",12,38,1
2136,2017,2017-12-01,144,Haringey,"Injuries treated on scene","Collision Incident",6,12,1
2137,2017,2017-11-01,466,Croydon,"Injuries treated on scene","Personal Injury",12,35,1
2138,2017,2017-12-01,54,Lewisham,"Injuries treated on scene","Slip Trip Fall",4,21,1
2139,2017,2017-11-01,S1,Sutton,"Injuries treated on scene","Slip Trip Fall",29,75,1
2140,2017,2017-12-01,16,Brent,"Injuries treated on scene","Personal Injury",2,8,1
2141,2017,2017-11-01,390,Islington,"Injuries treated on scene","Personal Injury",2,10,1
2142,2017,2017-11-01,264,Merton,"Injuries treated on scene","Personal Injury",12,35,1
2143,2017,2017-11-01,260,Brent,"Injuries treated on scene","Personal Injury",2,28,1
2144,2017,2017-11-01,329,"Not specified","Injuries treated on scene","Slip Trip Fall",6,43,1
2145,2017,2017-11-01,314,Bromley,"Injuries treated on scene","Personal Injury",4,36,1
2146,2017,2017-11-01,198,Croydon,"Injuries treated on scene","Slip Trip Fall",12,38,1
2147,2017,2017-11-01,221,Barnet,"Reported Minor Injury - Treated at Hospital","Personal Injury",6,12,1
2148,2017,2017-11-01,97,Newham,"Injuries treated on scene","Slip Trip Fall",3,56,1
2149,2017,2017-11-01,92,Ealing,"Injuries treated on scene","Personal Injury",9,67,1
2150,2017,2017-11-01,150,Redbridge,"Injuries treated on scene","Collision Incident",6,52,1
2151,2017,2017-08-01,279,Haringey,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Collision Incident",6,51,1
2152,2017,2017-11-01,56,"Waltham Forest","Injuries treated on scene","Personal Injury",4,23,1
2153,2017,2017-11-01,6,Westminster,"Reported Minor Injury - Treated at Hospital","Slip Trip Fall",2,28,1
2154,2017,2017-10-01,393,Islington,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",6,16,1
2155,2017,2017-10-01,U3,Hillingdon,"Injuries treated on scene","Personal Injury",9,74,1
2156,2017,2017-10-01,482,Hounslow,"Injuries treated on scene","Slip Trip Fall",9,67,1
2157,2017,2017-10-01,366,Redbridge,"Injuries treated on scene","Personal Injury",3,2,1
2158,2017,2017-10-01,365,Havering,"Injuries treated on scene","Slip Trip Fall",3,45,1
2159,2017,2017-10-01,R1,Bromley,"Injuries treated on scene","Personal Injury",11,54,1
2160,2017,2017-10-01,453,Southwark,"Reported Minor Injury - Treated at Hospital","Personal Injury",8,15,1
2161,2017,2017-10-01,422,Greenwich,"Injuries treated on scene","Personal Injury",8,39,1
2162,2017,2017-10-01,349,Enfield,"Reported Minor Injury - Treated at Hospital","Slip Trip Fall",6,51,1
2163,2017,2017-10-01,417,Lambeth,"Injuries treated on scene","Personal Injury",12,18,1
2164,2017,2017-10-01,253,Camden,"Injuries treated on scene","Personal Injury",6,26,1
2165,2017,2017-10-01,229,Greenwich,"Injuries treated on scene","Slip Trip Fall",6,58,1
2166,2017,2017-10-01,187,Brent,"Injuries treated on scene","Slip Trip Fall",9,9,1
2167,2017,2017-10-01,213,"Kingston upon Thames","Reported Minor Injury - Treated at Hospital","Slip Trip Fall",1,30,1
2168,2017,2017-10-01,210,Islington,"Injuries treated on scene","Personal Injury",2,8,1
2169,2017,2017-10-01,208,Lewisham,"Injuries treated on scene","Personal Injury",4,36,1
2170,2017,2017-10-01,124,Lewisham,"Injuries treated on scene","Personal Injury",4,21,1
2171,2017,2017-10-01,176,Bromley,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",12,18,1
2172,2017,2017-10-01,73,Camden,"Injuries treated on scene","Slip Trip Fall",6,26,1
2173,2017,2017-10-01,64,Croydon,"Injuries treated on scene","Slip Trip Fall",12,38,1
2174,2017,2017-10-01,2,Westminster,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",12,18,1
2175,2017,2017-08-01,13,Westminster,"Injuries treated on scene","Slip Trip Fall",7,76,1
2176,2017,2017-09-01,474,Newham,"Injuries treated on scene","Slip Trip Fall",14,48,1
2177,2017,2017-08-01,5,"Barking & Dagenham","Injuries treated on scene","Personal Injury",3,2,1
2178,2017,2017-07-01,W8,Enfield,"Injuries treated on scene","Slip Trip Fall",2,32,1
2179,2017,2017-07-01,W6,Enfield,"Injuries treated on scene","Personal Injury",6,51,1
2180,2017,2017-09-01,EL1,"Barking & Dagenham","Injuries treated on scene","Slip Trip Fall",14,48,1
2181,2017,2017-09-01,401,Bexley,"Injuries treated on scene",Assault,8,39,1
2182,2017,2017-09-01,E7,Ealing,"Injuries treated on scene","Slip Trip Fall",13,82,1
2183,2017,2017-09-01,D8,"Tower Hamlets","Injuries treated on scene","Personal Injury",18,57,1
2184,2017,2017-09-01,370,"None London Borough","Injuries treated on scene","Slip Trip Fall",6,25,1
2185,2017,2017-09-01,343,Southwark,"Injuries treated on scene","Personal Injury",10,60,1
2186,2017,2017-09-01,339,"Tower Hamlets","Injuries treated on scene","Personal Injury",7,11,1
2187,2017,2017-09-01,349,Enfield,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",6,51,1
2188,2017,2017-09-01,329,Enfield,"Injuries treated on scene","Slip Trip Fall",6,43,1
2189,2017,2017-09-01,280,Merton,"Injuries treated on scene","Personal Injury",1,19,1
2190,2017,2017-09-01,189,Camden,"Injuries treated on scene","Slip Trip Fall",2,8,1
2191,2017,2017-09-01,235,Hounslow,"Injuries treated on scene","Slip Trip Fall",2,50,1
2192,2017,2017-09-01,174,Havering,"Injuries treated on scene","Personal Injury",3,45,1
2193,2017,2017-09-01,147,Newham,"Injuries treated on scene","Slip Trip Fall",14,48,1
2194,2017,2017-09-01,67,Hackney,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",6,26,1
2195,2017,2017-09-01,59,Lambeth,"Reported Minor Injury - Treated at Hospital","Slip Trip Fall",12,24,1
2196,2017,2017-09-01,56,"Waltham Forest","Reported Minor Injury - Treated at Hospital","Slip Trip Fall",4,23,1
2197,2017,2017-09-01,40,"City of London","Reported Minor Injury - Treated at Hospital","Slip Trip Fall",8,5,1
2198,2017,2017-09-01,88,Westminster,"Injuries treated on scene","Slip Trip Fall",1,4,1
2199,2017,2017-09-01,87,Lambeth,"Injuries treated on scene","Slip Trip Fall",1,4,1
2200,2017,2017-09-01,33,"Richmond Upon Thames","Injuries treated on scene","Personal Injury",5,14,1
2201,2017,2017-09-01,79,Harrow,"Injuries treated on scene","Slip Trip Fall",2,29,1
2202,2017,2017-09-01,18,Brent,"Injuries treated on scene","Personal Injury",9,9,1
2203,2017,2017-08-01,H20,Hounslow,"Injuries treated on scene","Personal Injury",10,63,1
2204,2017,2017-08-01,H19,Harrow,"Injuries treated on scene","Slip Trip Fall",6,44,1
2205,2017,2017-07-01,207,Ealing,"Injuries treated on scene","Personal Injury",9,67,1
2206,2017,2017-08-01,274,Islington,"Injuries treated on scene","Slip Trip Fall",2,20,1
2207,2017,2017-08-01,213,Sutton,"Injuries treated on scene","Slip Trip Fall",1,30,1
2208,2017,2017-08-01,192,Enfield,"Reported Minor Injury - Treated at Hospital","Personal Injury",1,68,1
2209,2017,2017-08-01,178,Lewisham,"Injuries treated on scene","Slip Trip Fall",4,21,1
2210,2017,2017-08-01,159,Westminster,"Injuries treated on scene","Personal Injury",10,22,1
2211,2017,2017-08-01,159,Lambeth,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",10,22,1
2212,2017,2017-08-01,142,Harrow,"Injuries treated on scene","Slip Trip Fall",6,44,1
2213,2017,2017-08-01,136,Lewisham,"Injuries treated on scene","Personal Injury",4,21,1
2214,2017,2017-08-01,75,Lewisham,"Injuries treated on scene","Personal Injury",4,21,1
2215,2017,2017-08-01,66,Redbridge,"Injuries treated on scene","Slip Trip Fall",6,25,1
2216,2017,2017-08-01,41,Haringey,"Reported Minor Injury - Treated at Hospital","Personal Injury",6,49,1
2217,2017,2017-08-01,35,"City of London","Injuries treated on scene","Personal Injury",8,5,1
2218,2017,2017-07-01,W3,Haringey,"Injuries treated on scene","Collision Incident",6,12,1
2219,2017,2017-08-01,34,Enfield,"Reported Minor Injury - Treated at Hospital","Slip Trip Fall",2,32,1
2220,2017,2017-07-01,345,Lambeth,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",10,60,1
2221,2017,2017-07-01,328,Camden,"Injuries treated on scene","Personal Injury",7,76,1
2222,2017,2017-07-01,455,Sutton,"Injuries treated on scene","Personal Injury",11,55,1
2223,2017,2017-07-01,453,Southwark,"Injuries treated on scene","Personal Injury",1,17,1
2224,2017,2017-07-01,319,Wandsworth,"Injuries treated on scene","Slip Trip Fall",12,24,1
2225,2017,2017-07-01,450,Croydon,"Injuries treated on scene","Personal Injury",12,18,1
2226,2017,2017-07-01,270,Wandsworth,"Injuries treated on scene","Personal Injury",1,19,1
2227,2017,2017-07-01,189,Brent,"Injuries treated on scene","Personal Injury",2,8,1
2228,2017,2017-07-01,174,"Barking & Dagenham","Injuries treated on scene","Personal Injury",3,45,1
2229,2017,2017-07-01,115,Newham,"Injuries treated on scene","Collision Incident",3,56,1
2230,2017,2017-07-01,157,Croydon,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",12,38,1
2231,2017,2017-07-01,150,Redbridge,"Injuries treated on scene","Slip Trip Fall",6,52,1
2232,2017,2017-07-01,149,Enfield,"Injuries treated on scene","Slip Trip Fall",6,49,1
2233,2017,2017-07-01,148,Westminster,"Injuries treated on scene","Personal Injury",5,42,1
2234,2017,2017-07-01,123,Haringey,"Injuries treated on scene","Slip Trip Fall",6,49,1
2235,2017,2017-07-01,77,Wandsworth,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",1,4,1
2236,2017,2017-07-01,64,"Not specified","Injuries treated on scene","Slip Trip Fall",12,38,1
2237,2017,2017-06-01,EL1,"Barking & Dagenham","Reported Minor Injury - Treated at Hospital","Slip Trip Fall",14,48,1
2238,2017,2017-07-01,17,Camden,"Injuries treated on scene","Personal Injury",2,10,1
2239,2017,2017-07-01,48,"Tower Hamlets","Injuries treated on scene","Slip Trip Fall",6,46,1
2240,2017,2017-06-01,B12,Bexley,"Reported Minor Injury - Treated at Hospital","Personal Injury",6,58,1
2241,2017,2017-06-01,453,Southwark,"Injuries treated on scene","Slip Trip Fall",1,17,1
2242,2017,2017-06-01,242,Hackney,"Injuries treated on scene","Personal Injury",6,16,1
2243,2017,2017-06-01,414,"Kensington & Chelsea","Injuries treated on scene","Personal Injury",10,22,1
2244,2017,2017-06-01,213,Sutton,"Reported Minor Injury - Treated at Hospital","Slip Trip Fall",1,30,1
2245,2017,2017-06-01,213,"Kingston upon Thames","Injuries treated on scene","Personal Injury",1,30,1
2246,2017,2017-06-01,149,Enfield,"Injuries treated on scene","Slip Trip Fall",6,49,1
2247,2017,2017-06-01,325,Newham,"Injuries treated on scene","Slip Trip Fall",6,52,1
2248,2017,2017-06-01,144,Enfield,"Injuries treated on scene","Slip Trip Fall",6,12,1
2249,2017,2017-06-01,207,Ealing,"Reported Minor Injury - Treated at Hospital","Collision Incident",9,67,1
2250,2017,2017-06-01,202,Lewisham,"Injuries treated on scene","Personal Injury",11,55,1
2251,2017,2017-06-01,134,Barnet,"Injuries treated on scene","Personal Injury",2,32,1
2252,2017,2017-06-01,259,Haringey,"Injuries treated on scene","Slip Trip Fall",6,49,1
2253,2017,2017-06-01,173,"Not specified","Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",6,52,1
2254,2017,2017-06-01,48,Hackney,"Injuries treated on scene","Personal Injury",6,46,1
2255,2017,2017-06-01,108,Newham,"Injuries treated on scene","Slip Trip Fall",8,15,1
2256,2017,2017-06-01,46,Camden,"Injuries treated on scene","Personal Injury",2,20,1
2257,2017,2017-06-01,43,Islington,"Injuries treated on scene","Slip Trip Fall",2,10,1
2258,2017,2017-06-01,93,Merton,"Injuries treated on scene","Slip Trip Fall",1,30,1
2259,2017,2017-06-01,24,Westminster,"Injuries treated on scene","Personal Injury",2,10,1
2260,2017,2017-06-01,5,"Barking & Dagenham","Injuries treated on scene","Personal Injury",3,2,1
2261,2017,2017-05-01,W8,Enfield,"Injuries treated on scene","Activity Incident Event",2,32,1
2262,2017,2017-05-01,282,Hillingdon,"Injuries treated on scene","Slip Trip Fall",9,67,1
2263,2017,2017-05-01,U4,Hillingdon,"Reported Minor Injury - Treated at Hospital","Collision Incident",9,74,1
2264,2017,2017-05-01,R68,"Richmond Upon Thames","Injuries treated on scene","Slip Trip Fall",13,63,1
2265,2017,2017-05-01,274,Islington,"Injuries treated on scene","Personal Injury",2,20,1
2266,2017,2017-05-01,194,Bromley,"Injuries treated on scene","Personal Injury",12,35,1
2267,2017,2017-05-01,345,Lambeth,"Injuries treated on scene","Personal Injury",10,60,1
2268,2017,2017-05-01,341,Haringey,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Personal Injury",6,49,1
2269,2017,2017-05-01,176,"Not specified","Injuries treated on scene","Slip Trip Fall",12,18,1
2270,2017,2017-05-01,329,Enfield,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",6,43,1
2271,2017,2017-05-01,163,Merton,"Injuries treated on scene","Slip Trip Fall",1,19,1
2272,2017,2017-05-01,48,Hackney,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",6,46,1
2273,2017,2017-05-01,228,"Hammersmith & Fulham","Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",9,9,1
2274,2017,2017-05-01,3,Lambeth,"Injuries treated on scene","Personal Injury",10,22,1
2275,2017,2017-05-01,34,"Waltham Forest","Injuries treated on scene","Slip Trip Fall",2,32,1
2276,2017,2017-04-01,EL3,"Barking & Dagenham","Injuries treated on scene","Slip Trip Fall",14,48,1
2277,2017,2017-05-01,137,Westminster,"Injuries treated on scene","Slip Trip Fall",12,24,1
2278,2017,2017-04-01,470,"None London Borough","Injuries treated on scene","Slip Trip Fall",16,75,1
2279,2017,2017-05-01,64,Croydon,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",12,38,1
2280,2017,2017-04-01,U5,Hillingdon,"Reported Minor Injury - Treated at Hospital","Personal Injury",9,59,1
2281,2017,2017-04-01,450,Croydon,"Injuries treated on scene","Personal Injury",12,18,1
2282,2017,2017-04-01,U4,Hillingdon,"Injuries treated on scene","Collision Incident",9,74,1
2283,2017,2017-04-01,427,Ealing,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Collision Incident",13,72,1
2284,2017,2017-04-01,303,Barnet,"Injuries treated on scene","Personal Injury",6,44,1
2285,2017,2017-04-01,287,"Barking & Dagenham","Injuries treated on scene","Slip Trip Fall",3,45,1
2286,2017,2017-04-01,H18,Harrow,"Injuries treated on scene","Slip Trip Fall",6,44,1
2287,2017,2017-04-01,H12,Harrow,"Injuries treated on scene","Personal Injury",2,41,1
2288,2017,2017-04-01,281,"Kingston upon Thames","Injuries treated on scene","Slip Trip Fall",5,14,1
2289,2017,2017-04-01,C11,Camden,"Injuries treated on scene","Personal Injury",2,8,1
2290,2017,2017-04-01,483,Brent,"Injuries treated on scene","Slip Trip Fall",9,62,1
2291,2017,2017-04-01,254,Hackney,"Injuries treated on scene","Slip Trip Fall",6,46,1
2292,2017,2017-04-01,323,Newham,"Injuries treated on scene","Personal Injury",3,56,1
2293,2017,2017-04-01,114,Harrow,"Reported Minor Injury - Treated at Hospital","Slip Trip Fall",9,74,1
2294,2017,2017-04-01,109,Lambeth,"Reported Minor Injury - Treated at Hospital","Slip Trip Fall",10,47,1
2295,2017,2017-04-01,230,Haringey,"Injuries treated on scene","Personal Injury",6,49,1
2296,2017,2017-04-01,229,"Not specified","Injuries treated on scene","Slip Trip Fall",6,58,1
2297,2017,2017-04-01,225,Bexley,"Injuries treated on scene","Personal Injury",8,15,1
2298,2017,2017-04-01,155,Lambeth,"Injuries treated on scene","Personal Injury",1,19,1
2299,2017,2017-04-01,13,Barnet,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",7,76,1
2300,2017,2017-04-01,64,Croydon,"Injuries treated on scene","Slip Trip Fall",12,38,1
2301,2017,2017-04-01,2,Westminster,"Reported Minor Injury - Treated at Hospital","Personal Injury",12,18,1
2302,2017,2017-01-01,64,Croydon,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",17,38,1
2303,2017,2017-04-01,74,Westminster,"Injuries treated on scene","Slip Trip Fall",1,7,1
2304,2017,2017-03-01,P12,Southwark,"Reported Minor Injury - Treated at Hospital","Personal Injury",11,37,1
2305,2017,2017-03-01,EL2,"Barking & Dagenham","Injuries treated on scene","Slip Trip Fall",14,48,1
2306,2017,2017-03-01,476,Haringey,"Injuries treated on scene","Personal Injury",1,68,1
2307,2017,2017-03-01,466,Croydon,"Injuries treated on scene","Slip Trip Fall",12,35,1
2308,2017,2017-03-01,324,Brent,"Injuries treated on scene","Slip Trip Fall",2,8,1
2309,2017,2017-03-01,401,Bexley,"Injuries treated on scene","Personal Injury",1,39,1
2310,2017,2017-03-01,394,Hackney,"Injuries treated on scene","Slip Trip Fall",19,53,1
2311,2017,2017-03-01,381,Southwark,"Injuries treated on scene","Personal Injury",10,60,1
2312,2017,2017-03-01,266,Brent,"Injuries treated on scene","Collision Incident",7,13,1
2313,2017,2017-03-01,207,Ealing,"Reported Minor Injury - Treated at Hospital","Personal Injury",9,59,1
2314,2017,2017-03-01,187,Westminster,"Reported Minor Injury - Treated at Hospital","Slip Trip Fall",9,9,1
2315,2017,2017-03-01,144,Haringey,"Injuries treated on scene","Personal Injury",6,12,1
2316,2017,2017-03-01,142,Barnet,"Injuries treated on scene","Personal Injury",6,44,1
2317,2017,2017-03-01,177,Newham,"Injuries treated on scene","Personal Injury",4,27,1
2318,2017,2017-03-01,73,Islington,"Injuries treated on scene","Personal Injury",6,26,1
2319,2017,2017-03-01,130,Croydon,"Injuries treated on scene","Personal Injury",11,55,1
2320,2017,2017-03-01,34,Barnet,"Injuries treated on scene","Personal Injury",2,32,1
2321,2017,2017-03-01,30,Islington,"Injuries treated on scene","Personal Injury",7,11,1
2322,2017,2017-03-01,50,Croydon,"Injuries treated on scene","Slip Trip Fall",12,24,1
2323,2017,2017-03-01,48,Hackney,"Injuries treated on scene","Personal Injury",6,46,1
2324,2017,2017-02-01,E6,Hillingdon,"Injuries treated on scene","Personal Injury",9,67,1
2325,2017,2017-02-01,463,Sutton,"Injuries treated on scene","Slip Trip Fall",16,75,1
2326,2017,2017-02-01,329,Enfield,"Injuries treated on scene","Slip Trip Fall",17,43,1
2327,2017,2017-02-01,643,Barnet,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",2,8,1
2328,2017,2017-02-01,410,Croydon,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",12,38,1
2329,2017,2017-02-01,253,Camden,"Injuries treated on scene","Collision Incident",17,26,1
2330,2017,2017-02-01,250,Croydon,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Collision Incident",12,38,1
2331,2017,2017-02-01,181,Lewisham,"Injuries treated on scene","Slip Trip Fall",11,54,1
2332,2017,2017-02-01,109,Croydon,"Injuries treated on scene","Collision Incident",10,47,1
2333,2017,2017-02-01,230,Haringey,"Injuries treated on scene","Personal Injury",6,49,1
2334,2017,2017-02-01,152,Merton,"Injuries treated on scene","Personal Injury",1,19,1
2335,2017,2017-02-01,144,Enfield,"Injuries treated on scene","Slip Trip Fall",6,12,1
2336,2016,2016-02-01,492,Bexley,"Injuries treated on scene","Onboard Injuries",15,1,1
2337,2017,2017-02-01,60,Merton,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",12,35,1
2338,2016,2016-02-01,414,Westminster,"Injuries treated on scene","Onboard Injuries",10,1,1
2339,2017,2017-02-01,49,Wandsworth,"Injuries treated on scene","Collision Incident",10,22,1
2340,2017,2017-02-01,5,"Barking & Dagenham","Injuries treated on scene","Personal Injury",3,2,1
2341,2017,2017-02-01,33,"Richmond Upon Thames","Injuries treated on scene","Slip Trip Fall",5,14,1
2342,2017,2017-02-01,32,Camden,"Injuries treated on scene","Personal Injury",2,8,1
2343,2017,2017-01-01,B15,Greenwich,"Injuries treated on scene","Slip Trip Fall",21,58,1
2344,2017,2017-01-01,393,Islington,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",17,16,1
2345,2017,2017-01-01,380,Greenwich,"Injuries treated on scene","Slip Trip Fall",4,21,1
2346,2017,2017-01-01,371,"Kingston upon Thames","Injuries treated on scene","Collision Incident",5,14,1
2347,2017,2017-01-01,332,Westminster,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",2,8,1
2348,2017,2017-01-01,320,Bromley,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",11,54,1
2349,2017,2017-01-01,234,Barnet,"Injuries treated on scene","Personal Injury",2,32,1
2350,2017,2017-01-01,192,Enfield,"Injuries treated on scene","Personal Injury",1,68,1
2351,2017,2017-01-01,158,"Waltham Forest","Injuries treated on scene","Slip Trip Fall",3,56,1
2352,2017,2017-01-01,102,Barnet,"Injuries treated on scene","Slip Trip Fall",17,43,1
2353,2017,2017-01-01,65,"Richmond Upon Thames","Injuries treated on scene","Slip Trip Fall",5,14,1
2354,2016,2016-09-01,185,Lewisham,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",8,5,1
2355,2016,2016-03-01,P5,Lambeth,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",8,1,1
2356,2016,2016-03-01,H12,Harrow,"Injuries treated on scene","Onboard Injuries",2,1,1
2357,2016,2016-09-01,167,Redbridge,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",14,48,1
2358,2016,2016-03-01,422,Bexley,"Injuries treated on scene","Onboard Injuries",8,1,1
2359,2016,2016-03-01,349,Enfield,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Collision Incident",6,1,1
2360,2016,2016-03-01,279,"None London Borough","Injuries treated on scene","Onboard Injuries",6,1,1
2361,2016,2016-03-01,229,Bexley,"Injuries treated on scene","Onboard Injuries",15,1,1
2362,2016,2016-03-01,197,Croydon,"Injuries treated on scene","Onboard Injuries",12,1,1
2363,2016,2016-03-01,184,Barnet,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",6,1,1
2364,2016,2016-03-01,147,Newham,"Injuries treated on scene","Onboard Injuries",3,1,1
2365,2016,2016-03-01,140,Harrow,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",2,1,1
2366,2016,2016-03-01,56,Islington,"Injuries treated on scene","Collision Incident",3,1,1
2367,2016,2016-03-01,24,Camden,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",2,1,1
2368,2016,2016-03-01,18,Brent,"Injuries treated on scene","Onboard Injuries",9,1,1
2369,2016,2016-03-01,15,"Tower Hamlets","Injuries treated on scene","Onboard Injuries",3,1,1
2370,2016,2016-02-01,H11,Harrow,"Injuries treated on scene","Onboard Injuries",20,1,1
2371,2016,2016-02-01,B15,Greenwich,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Collision Incident",15,1,1
2372,2016,2016-02-01,260,"Hammersmith & Fulham","Injuries treated on scene","Onboard Injuries",2,1,1
2373,2016,2016-02-01,220,"Hammersmith & Fulham","Reported Minor Injury - Treated at Hospital","Onboard Injuries",5,1,1
2374,2016,2016-02-01,203,Hounslow,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",5,1,1
2375,2016,2016-02-01,174,Havering,"Injuries treated on scene","Onboard Injuries",3,1,1
2376,2016,2016-02-01,109,Croydon,"Injuries treated on scene","Onboard Injuries",10,1,1
2377,2016,2016-02-01,105,Ealing,"Injuries treated on scene","Onboard Injuries",2,1,1
2378,2016,2016-02-01,56,"City of London","Injuries treated on scene","Onboard Injuries",3,1,1
2379,2016,2016-09-01,336,Bromley,"Injuries treated on scene","Personal Injury",3,36,1
2380,2016,2016-09-01,320,Bromley,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",11,54,1
2381,2016,2016-09-01,W3,"Not specified","Injuries treated on scene","Slip Trip Fall",6,12,1
2382,2016,2016-09-01,W3,Haringey,"Injuries treated on scene","Personal Injury",6,12,1
2383,2016,2016-09-01,U5,Hillingdon,"Reported Minor Injury - Treated at Hospital","Collision Incident",9,74,1
2384,2016,2016-09-01,453,Southwark,"Reported Minor Injury - Treated at Hospital","Personal Injury",1,17,1
2385,2016,2016-06-01,242,Camden,"Injuries treated on scene","Onboard Injuries",6,1,1
2386,2016,2016-06-01,221,"Not specified","Injuries treated on scene","Onboard Injuries",6,1,1
2387,2016,2016-06-01,220,"Hammersmith & Fulham","Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",5,1,1
2388,2016,2016-09-01,243,"Not specified","Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",6,49,1
2389,2016,2016-09-01,221,Barnet,"Injuries treated on scene","Slip Trip Fall",6,12,1
2390,2016,2016-06-01,149,Haringey,"Injuries treated on scene","Onboard Injuries",6,1,1
2391,2016,2016-09-01,207,Ealing,"Injuries treated on scene","Personal Injury",9,59,1
2392,2016,2016-09-01,140,Ealing,"Injuries treated on scene","Collision Incident",2,41,1
2393,2016,2016-09-01,124,Greenwich,"Injuries treated on scene","Personal Injury",4,21,1
2394,2016,2016-09-01,122,Greenwich,"Injuries treated on scene","Personal Injury",4,27,1
2395,2016,2016-09-01,118,Merton,"Injuries treated on scene","Personal Injury",1,19,1
2396,2016,2016-09-01,47,Lewisham,"Injuries treated on scene","Personal Injury",4,21,1
2397,2016,2016-09-01,33,"Richmond Upon Thames","Injuries treated on scene","Slip Trip Fall",5,14,1
2398,2016,2016-08-01,B11,Greenwich,"Injuries treated on scene","Personal Injury",8,39,1
2399,2016,2016-08-01,607,Ealing,"Injuries treated on scene","Slip Trip Fall",9,74,1
2400,2016,2016-09-01,12,Southwark,"Injuries treated on scene","Personal Injury",8,5,1
2401,2016,2016-08-01,391,"Richmond Upon Thames","Injuries treated on scene","Slip Trip Fall",5,14,1
2402,2016,2016-08-01,U4,Hillingdon,"Reported Minor Injury - Treated at Hospital","Slip Trip Fall",9,74,1
2403,2016,2016-08-01,264,"Not specified","Injuries treated on scene","Slip Trip Fall",12,35,1
2404,2016,2016-08-01,250,Croydon,"Injuries treated on scene","Slip Trip Fall",12,38,1
2405,2016,2016-08-01,175,Havering,"Injuries treated on scene","Slip Trip Fall",3,34,1
2406,2016,2016-08-01,123,"Not specified","Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Slip Trip Fall",6,49,1
2407,2016,2016-08-01,57,Lambeth,"Injuries treated on scene","Personal Injury",1,19,1
2408,2016,2016-08-01,107,Barnet,"Injuries treated on scene","Slip Trip Fall",2,66,1
2409,2016,2016-08-01,55,Hackney,"Injuries treated on scene","Personal Injury",3,23,1
2410,2016,2016-08-01,103,Havering,"Reported Minor Injury - Treated at Hospital","Slip Trip Fall",3,45,1
2411,2016,2016-08-01,41,Haringey,"Injuries treated on scene","Slip Trip Fall",6,49,1
